,InvStokes1,Alpha,AspectRatio,FlaringIndex,PlanetMass,SigmaSlope,nx,rout,ny
0,154.88166189124811,0.0014791083881682,0.04435,0,0.0003273406948788,0.5,708.0,3,228.0
1,32.359365692962825,0.0002344228815319,0.03525,0,0.0027861211686297,0.5,891.0,3,287.0
2,37.15352290971726,0.0028183829312644,0.08635,0,0.0051880003892896,0.5,600.0,5,242.0
3,107.1519305237607,0.0011748975549395,0.06045,0,3.126079367123956e-05,0.5,600.0,3,193.0
4,588.843655355589,0.0061659500186148,0.08565,0,0.0006095368972401,0.5,600.0,3,193.0
5,17.78279410038923,0.0001479108388168,0.06465,0,0.0026001595631652,0.5,600.0,3,193.0
6,234.42288153199223,0.0040738027780411,0.03245,0,1.4621771744567184e-05,0.5,968.0,3,311.0
7,169.82436524617444,0.0002041737944669,0.06395,0,0.0001640589773199,0.5,600.0,3,193.0
8,33.884415613920254,0.0003388441561392,0.04575,0,8.810488730080147e-05,0.5,687.0,3,221.0
9,22.3872113856834,0.0001071519305237,0.08425,0,0.0021134890398366,0.5,600.0,3,193.0
10,20.417379446695296,0.0009332543007969,0.05345,0,0.0001757923613958,0.5,600.0,3,193.0
11,204.17379446695296,0.0038904514499428,0.08215,0,0.002264644307593,0.5,600.0,3,193.0
12,25.703957827688647,0.0044668359215096,0.04015,0,0.0018407720014689,0.5,782.0,3,252.0
13,29.512092266663856,0.0001348962882591,0.07235,0,3.3496543915782794e-05,0.5,600.0,3,193.0
14,16.218100973589298,0.0064565422903465,0.09195,0,0.0068391164728142,0.5,600.0,5,242.0
15,186.2087136662868,0.0001230268770812,0.05695,0,0.0001244514611771,0.5,600.0,3,193.0
16,14.791083881682072,0.0001174897554939,0.05555,0,0.0003758374042884,0.5,600.0,3,193.0
17,44.6683592150963,0.0056234132519034,0.04715,0,0.0042169650342858,0.5,666.0,3,215.0
18,10.23292992280754,0.0074131024130091,0.06885,0,0.0004623810213992,0.5,600.0,3,193.0
