,InvStokes1,Alpha,AspectRatio,FlaringIndex,PlanetMass,SigmaSlope,nx,rout,ny
0,377.572190925416,0.008298507675144225,0.031715,0.25847499999999995,0.0001385160185924461,1.01695,991.0,3,319.0
1,28.379190284415568,0.00014689262776438662,0.07728499999999999,0.09957500000000001,5.9634831983412636e-05,0.69915,600.0,3,193.0
2,205.58905959841425,0.0001538154640303034,0.057615,0.165025,0.0005591135275705602,0.83005,600.0,3,193.0
3,601.1737374832779,0.0005093308710571952,0.09611500000000002,0.33477500000000004,0.0021953309491398493,1.16955,600.0,3,193.0
4,209.41124558508935,0.0026363313858253786,0.047675,0.131075,0.00045133602534095627,0.76215,659.0,3,212.0
5,623.7348354824192,0.0005741164622073274,0.07497500000000001,0.341425,0.00023254124858733806,1.18285,600.0,3,193.0
6,75.68328950209744,0.006714288529259523,0.08988499999999999,0.096425,2.867477375581313e-05,0.69285,600.0,3,193.0
7,350.75187395256796,0.001210598133550483,0.093805,0.06177499999999999,5.604024173641845e-05,0.6235499999999999,600.0,3,193.0
8,74.30191378967014,0.0032433961734934934,0.043545,0.252525,0.00045446453720950845,1.00505,721.0,3,232.0
9,11.402497875611685,0.0017988709151287874,0.041655,0.050575,0.0003002617420861268,0.60115,754.0,3,243.0
10,104.9542428652322,0.0025882129151530904,0.030244999999999998,0.141225,0.0025911944213546623,0.78245,1039.0,3,334.0
11,555.9042572704037,0.003899419866765436,0.07406499999999999,0.275275,0.000900533762750648,1.0505499999999999,600.0,3,193.0
12,50.46612975635284,0.0001364583136588924,0.09828500000000001,0.34457499999999996,0.0013443117666713052,1.18915,600.0,3,193.0
13,47.533522594280534,0.000285101826750391,0.048865000000000006,0.022925,0.0007524887301735844,0.54585,643.0,3,207.0
14,62.95061828571975,0.004120975190973304,0.06720500000000001,0.342125,0.0014109122364580954,1.18425,600.0,3,193.0
15,760.3262769401822,0.0027352687263067113,0.099615,0.305375,0.0032546178349804568,1.11075,600.0,3,193.0
16,132.1295634186575,0.0017498466886246564,0.065245,0.037625,0.0066297934767066856,0.57525,600.0,5,242.0
17,31.11716337106017,0.00010069316688518045,0.033045,0.032025,0.00018771544183750224,0.5640499999999999,951.0,3,306.0
18,55.335010921573655,0.003672823004980846,0.044175,0.270375,0.0009321804703416082,1.04075,711.0,3,229.0
19,374.1105882720533,0.00023496328208483073,0.091145,0.053024999999999996,0.0003618261907324302,0.60605,600.0,3,193.0
20,14.487718535447618,0.0001358313446587154,0.060485,0.268625,0.0026091557230141357,1.03725,600.0,3,193.0
21,65.61452663029057,0.0022646443075930596,0.073575,0.296275,0.0017721480451351169,1.0925500000000001,600.0,3,193.0
22,837.5292821268827,0.00035727283815192883,0.039415,0.184625,0.003560409900359571,0.8692500000000001,797.0,3,257.0
23,31.841975217261254,0.004178303666466218,0.075465,0.06562499999999999,0.004994591802082484,0.63125,600.0,3,193.0
24,29.853826189179603,0.0005116818355403078,0.07441500000000001,0.14787499999999998,0.008984625925706858,0.79575,600.0,5,242.0
25,33.962527259040854,0.00010162486928706959,0.08064500000000001,0.22487500000000002,0.001532851206362935,0.9497500000000001,600.0,3,193.0
26,30.4088502567628,0.00013396766874259345,0.084985,0.28192500000000004,0.001162786551003355,1.06385,600.0,3,193.0
27,212.32444620002192,0.0002600159563165272,0.050755,0.21962499999999996,0.00017762332682884374,0.9392499999999999,619.0,3,200.0
28,192.75249131909365,0.00010209394837076797,0.090305,0.280875,1.4371430533563898e-05,1.06175,600.0,3,193.0
29,526.0172663907063,0.002027682719521282,0.042775,0.156625,1.3598781632845187e-05,0.81325,734.0,3,236.0
30,291.7427014001166,0.0008413951416451947,0.064195,0.018025,4.0784956177127e-05,0.53605,600.0,3,193.0
31,12.387965865303691,0.002760577856220345,0.095485,0.23467500000000002,0.0022413000457823305,0.96935,600.0,3,193.0
32,32.43396173493493,0.0003155004623374627,0.09065500000000001,0.06212499999999999,5.8411720709283004e-05,0.62425,600.0,3,193.0
33,347.53616144320574,0.0016557699634695275,0.052365,0.335475,0.0005476461009618937,1.17095,600.0,3,193.0
34,221.30947096056389,0.0019275249131909366,0.073435,0.170975,2.463201838235155e-05,0.84195,600.0,3,193.0
35,256.4484036517716,0.0008770008211436348,0.049775,0.007175,0.00012574768543676589,0.51435,631.0,3,203.0
36,91.411324147025,0.00014487718535447617,0.071265,0.23187500000000003,1.9341938586192793e-05,0.9637500000000001,600.0,3,193.0
37,25.40972705549305,0.00029444216337987605,0.030175,0.112525,1.9611011754760494e-05,0.72505,1041.0,3,335.0
38,188.36490894898,0.0011994993031493794,0.068815,0.322175,0.0030796403415023934,1.14435,600.0,3,193.0
39,218.27299118430014,0.0005482769649208536,0.046415,0.018725,0.002682254607608497,0.53745,677.0,3,218.0
40,10.990058394325208,0.0006591738952443213,0.081205,0.10797499999999999,0.00010801896208818909,0.71595,600.0,3,193.0
41,231.73946499684797,0.00020276827195212817,0.08554500000000001,0.346325,1.097741290273713e-05,1.19265,600.0,3,193.0
42,650.1296903430909,0.0002471724145016129,0.081415,0.210875,9.738677853286337e-05,0.9217500000000001,600.0,3,193.0
43,241.54608344449403,0.002600159563165272,0.035915,0.11287499999999999,0.0027574014523463614,0.72575,875.0,3,282.0
44,11.142945335917299,0.0006652731562017413,0.088765,0.224175,0.003165920463432236,0.94835,600.0,3,193.0
45,889.2011178579481,0.001049542428652322,0.061045,0.29382499999999995,2.190281828068457e-05,1.08765,600.0,3,193.0
46,139.63683610559377,0.0007030723198838334,0.08400500000000001,0.086975,2.2054641363927478e-05,0.67395,600.0,3,193.0
